cols
start
len
is_english
is_location
num_capital
beg_sent
end_sent
is_ceo_keyword
is_comp_keyword
char_len
pos_before_#
pos_before_''
pos_before_(
pos_before_)
"pos_before_,"
pos_before_.
pos_before_:
pos_before_CC
pos_before_CD
pos_before_DT
pos_before_FW
pos_before_IN
pos_before_JJ
pos_before_JJR
pos_before_JJS
pos_before_MD
pos_before_NN
pos_before_NNP
pos_before_NNPS
pos_before_NNS
pos_before_POS
pos_before_PRP
pos_before_PRP$
pos_before_RB
pos_before_RBR
pos_before_RP
pos_before_TO
pos_before_VB
pos_before_VBD
pos_before_VBG
pos_before_VBN
pos_before_VBP
pos_before_VBZ
pos_before_WDT
pos_before_WP
pos_before_WP$
pos_before_WRB
pos_after_$
pos_after_''
pos_after_(
pos_after_)
"pos_after_,"
pos_after_.
pos_after_:
pos_after_CC
pos_after_CD
pos_after_DT
pos_after_EX
pos_after_FW
pos_after_IN
pos_after_JJ
pos_after_JJR
pos_after_JJS
pos_after_MD
pos_after_NN
pos_after_NNP
pos_after_NNPS
pos_after_NNS
pos_after_PDT
pos_after_POS
pos_after_PRP
pos_after_PRP$
pos_after_RB
pos_after_RBR
pos_after_RBS
pos_after_RP
pos_after_SYM
pos_after_TO
pos_after_VB
pos_after_VBD
pos_after_VBG
pos_after_VBN
pos_after_VBP
pos_after_VBZ
pos_after_WDT
pos_after_WP
pos_after_WP$
pos_after_WRB
